horizon_h,baseline,MAE_baseline,MAE_lightgbm,MAE_improvement_pct,RMSE_baseline,RMSE_lightgbm,RMSE_improvement_pct
1,Persistence,0.1753685359860651,0.0451147357984498,74.27432717917276,0.2077086398555568,0.0663509402254546,68.05576298049235
1,SeasonalNaive24,0.16553193574128008,0.0451147357984498,72.74560005812874,0.21991410770089945,0.0663509402254546,69.82870225147305
1,AutoReg24,0.04434435911981593,0.0451147357984498,-1.7372596964415714,0.0649504974499534,0.0663509402254546,-2.1561694374708713
3,Persistence,0.4685570041046372,0.10473136699448211,77.64810555022805,0.5505413965639694,0.1406012375309769,74.46127786057593
3,SeasonalNaive24,0.16575006551824426,0.10473136699448211,36.813679881801164,0.22019358608709677,0.1406012375309769,36.14653358914706
3,AutoReg24,0.10323655537343848,0.10473136699448211,-1.4479479828016704,0.14893099484875802,0.1406012375309769,5.593031407760446
6,Persistence,0.6857733371440946,0.14102365164939,79.43582171965397,0.844396709144472,0.19080253669895,77.40368542029638
6,SeasonalNaive24,0.16575006551824426,0.14102365164939,14.917890856660073,0.22019358608709677,0.19080253669895,13.347822663881429
6,AutoReg24,0.11358216977101256,0.14102365164939,-24.16002611475101,0.17128201233377277,0.19080253669895,-11.396715918504098
24,Persistence,0.16629160053376196,0.10632769817877835,36.059489572841784,0.22097928936678082,0.1555922722945089,29.589658496793668
24,SeasonalNaive24,0.16629160053376196,0.10632769817877835,36.059489572841784,0.22097928936678082,0.1555922722945089,29.589658496793668
24,AutoReg24,0.1059895168614398,0.10632769817877835,-0.31907053391011864,0.16298158959069556,0.1555922722945089,4.53383557906378
