horizon_h,model,RMSE,MAE,R2
1,AutoReg24,0.0649504974499534,0.04434435911981593,0.9851680116057875
1,LightGBM,0.0663509402254546,0.0451147357984498,0.9845215105140875
1,SeasonalNaive24,0.21991410770089945,0.16553193574128008,0.8299641115354267
1,Persistence,0.2077086398555568,0.1753685359860651,0.8483146851481269
3,AutoReg24,0.14893099484875802,0.10323655537343848,0.9222451959885926
3,LightGBM,0.1406012375309769,0.10473136699448211,0.9306996646269334
3,SeasonalNaive24,0.22019358608709677,0.16575006551824426,0.8300323073481076
3,Persistence,0.5505413965639694,0.4685570041046372,-0.06251974726137988
6,AutoReg24,0.17128201233377277,0.11358216977101256,0.8971556202601072
6,LightGBM,0.19080253669895,0.14102365164939,0.8723780610643415
6,SeasonalNaive24,0.22019358608709677,0.16575006551824426,0.8300323073481076
6,Persistence,0.844396709144472,0.6857733371440946,-1.4994825783316599
24,AutoReg24,0.16298158959069556,0.1059895168614398,0.9059455477012389
24,LightGBM,0.1555922722945089,0.10632769817877835,0.9142807609634019
24,Persistence,0.22097928936678082,0.16629160053376196,0.8270958546586158
24,SeasonalNaive24,0.22097928936678082,0.16629160053376196,0.8270958546586158
