date,Dap_Tri_An_pressure_msl,Dap_Tri_An_surface_pressure,Dap_Tri_An_precipitation,Dap_Tri_An_wind_speed_10m,Dap_Tri_An_wind_direction_10m,Dap_Tri_An_wind_gusts_10m,Dap_Dau_Tieng_pressure_msl,Dap_Dau_Tieng_surface_pressure,Dap_Dau_Tieng_precipitation,Dap_Dau_Tieng_wind_speed_10m,Dap_Dau_Tieng_wind_direction_10m,Dap_Dau_Tieng_wind_gusts_10m,Tram_Cu_Chi_pressure_msl,Tram_Cu_Chi_surface_pressure,Tram_Cu_Chi_precipitation,Tram_Cu_Chi_wind_speed_10m,Tram_Cu_Chi_wind_direction_10m,Tram_Cu_Chi_wind_gusts_10m
2022-09-26 00:00:00,1009.8,1004.95685,1.6,2.0991426,149.03632,4.32,1009.7,1007.6179,1.5,5.6233797,129.80553,11.5199995,1009.6,1007.9789,1.8,3.396233,122.00535,7.5599995
2022-09-26 01:00:00,1008.9,1004.0457,1.2,4.072935,135.0001,4.68,1008.7,1006.6194,0.9,4.510787,118.61037,10.799999,1008.8,1007.17944,2.0,2.0991426,120.96369,6.4799995
2022-09-26 02:00:00,1008.0,1003.1582,1.0,1.609969,63.435013,9.36,1008.1,1006.0202,0.4,5.6002855,135.0001,11.159999,1008.0,1006.3802,1.0,1.609969,116.56499,7.5599995
2022-09-26 03:00:00,1007.6,1002.751,1.0,2.4149535,333.43503,7.92,1007.5,1005.42145,0.0,4.3349743,131.63345,10.440001,1007.3,1005.68066,0.6,0.35999998,360.0,2.52
2022-09-26 04:00:00,1007.3,1002.44934,0.9,3.2599385,353.6599,3.96,1007.1,1005.02014,0.0,2.5455842,135.0001,9.36,1007.1,1005.4804,0.5,2.8799999,90.0,5.04
2022-09-26 05:00:00,1007.2,1002.3579,0.6,1.4399999,360.0,4.32,1007.1,1005.01953,0.0,3.096837,125.537766,6.12,1007.1,1005.4804,0.1,4.2136917,70.01681,7.5599995
2022-09-26 06:00:00,1007.9,1003.04395,0.0,2.2768397,251.56496,3.96,1008.1,1006.0171,0.0,2.8116899,140.19447,7.2,1007.9,1006.2794,0.2,1.484318,14.036275,7.2
2022-09-26 07:00:00,1008.8,1003.95435,0.0,2.4149535,333.43503,9.72,1008.9,1006.82336,0.0,2.52,180.0,9.72,1008.9,1007.28186,0.4,1.1384199,18.435053,5.04
2022-09-26 08:00:00,1009.9,1005.06354,0.0,4.510787,298.61035,11.879999,1010.0,1007.9277,0.1,3.8268526,228.81418,10.799999,1009.9,1008.2885,0.0,5.5887027,255.06853,12.959999
2022-09-26 09:00:00,1010.2,1005.37665,0.1,7.072878,284.74362,18.0,1010.1,1008.0338,0.1,4.6938252,265.60138,15.4800005,1009.9,1008.2949,0.1,6.130579,266.6336,18.359999
