ngay,tenTram,year,month,day,doCaoDinhT,doCaoChanT,wl_mean,residual_peak,alarm_level,tide_max,tide_min,tide_mean,tide_range,tide_mean_lag1,rain,rain_max_intensity,rain_hours,rain_lag1,rain_lag2,rain_lag3,rain_lag7,rain_roll3,rain_roll7,rain_mean3,rain_mean7,month_sin,month_cos,doy_sin,doy_cos,dist_to_river_m,tide_inf_sigmoid,tide_inf_exp,pct_impervious,channel_length_m,channel_density_m_m2,lon,lat
2022-09-01,Củ Chi,2022,9,1,,,,,,3.974,1.687,2.8394583333333334,2.287,2.8251666666666666,6.0,2.8,5.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,-1.0,-1.8369701987210297e-16,-0.8702939222685674,-0.49253272872205434,841.645767323727,0.0318,0.1858,0.5212,1033.88,0.000329,106.512778,10.955556
2022-09-02,Củ Chi,2022,9,2,,,,,,3.84,1.575,2.841333333333333,2.265,2.8394583333333334,19.0,5.2,12.0,6.0,0.0,0.0,0.0,25.0,25.0,12.5,12.5,-1.0,-1.8369701987210297e-16,-0.8786374941610001,-0.4774894280028391,841.645767323727,0.0318,0.1858,0.5212,1033.88,0.000329,106.512778,10.955556
2022-09-03,Củ Chi,2022,9,3,,,,,,3.826,1.396,2.8196250000000003,2.43,2.841333333333333,0.2,0.2,1.0,19.0,6.0,0.0,0.0,25.2,25.2,8.4,8.4,-1.0,-1.8369701987210297e-16,-0.886721063082993,-0.46230483047981086,841.645767323727,0.0318,0.1858,0.5212,1033.88,0.000329,106.512778,10.955556
2022-09-04,Củ Chi,2022,9,4,,,,,,3.698,1.317,2.731625,2.381,2.8196250000000003,0.0,0.0,0.0,0.2,19.0,6.0,0.0,19.2,25.2,6.3999999999999995,6.3,-1.0,-1.8369701987210297e-16,-0.8945422369764496,-0.4469834295196741,841.645767323727,0.0318,0.1858,0.5212,1033.88,0.000329,106.512778,10.955556
2022-09-05,Củ Chi,2022,9,5,,,,,,3.758,1.125,2.831666666666667,2.633,2.731625,5.0,3.8,3.0,0.0,0.2,19.0,0.0,5.2,30.2,1.7333333333333334,6.04,-1.0,-1.8369701987210297e-16,-0.9020987014301837,-0.43152975897147144,841.645767323727,0.0318,0.1858,0.5212,1033.88,0.000329,106.512778,10.955556
2022-09-06,Củ Chi,2022,9,6,,,,,,3.952,1.14,3.02775,2.8120000000000003,2.831666666666667,10.2,1.8,15.0,5.0,0.0,0.2,0.0,15.2,40.4,5.066666666666666,6.733333333333333,-1.0,-1.8369701987210297e-16,-0.9093882203647925,-0.4159483918249421,841.645767323727,0.0318,0.1858,0.5212,1033.88,0.000329,106.512778,10.955556
2022-09-07,Củ Chi,2022,9,7,,,,,,4.056,0.75,2.777375,3.306,3.02775,27.8,9.8,13.0,10.2,5.0,0.0,0.0,43.0,68.2,14.333333333333334,9.742857142857144,-1.0,-1.8369701987210297e-16,-0.9164086366943458,-0.4002439388573056,841.645767323727,0.0318,0.1858,0.5212,1033.88,0.000329,106.512778,10.955556
2022-09-08,Củ Chi,2022,9,8,,,,,,4.075,0.589,2.7864166666666663,3.486,2.777375,0.2,0.2,1.0,27.8,10.2,5.0,6.0,38.2,62.4,12.733333333333334,8.914285714285715,-1.0,-1.8369701987210297e-16,-0.9231578729647039,-0.38442104726885545,841.645767323727,0.0318,0.1858,0.5212,1033.88,0.000329,106.512778,10.955556
2022-09-09,Củ Chi,2022,9,9,,,,,,4.181,0.646,3.0386666666666664,3.535,2.7864166666666663,5.8,4.6,4.0,0.2,27.8,10.2,19.0,33.8,49.2,11.266666666666666,7.028571428571429,-1.0,-1.8369701987210297e-16,-0.9296339319682695,-0.3684843993077793,841.645767323727,0.0318,0.1858,0.5212,1033.88,0.000329,106.512778,10.955556
2022-09-10,Củ Chi,2022,9,10,,,,,,4.161,0.651,2.873208333333333,3.51,3.0386666666666664,7.800000000000001,3.2,4.0,5.8,0.2,27.8,0.2,13.8,56.8,4.6000000000000005,8.114285714285714,-1.0,-1.8369701987210297e-16,-0.9358348973349941,-0.35243871088460327,841.645767323727,0.0318,0.1858,0.5212,1033.88,0.000329,106.512778,10.955556
2022-09-11,Củ Chi,2022,9,11,,,,,,4.244,0.86,2.911666666666666,3.384,2.873208333333333,2.2,0.4,10.0,7.800000000000001,5.8,0.2,0.0,15.8,59.0,5.266666666666667,8.428571428571429,-1.0,-1.8369701987210297e-16,-0.9417589340994617,-0.33628873017668287,841.645767323727,0.0318,0.1858,0.5212,1033.88,0.000329,106.512778,10.955556
2022-09-12,Củ Chi,2022,9,12,,,,,,4.252,1.119,2.935791666666667,3.133,2.911666666666666,10.2,4.0,19.0,2.2,7.800000000000001,5.8,5.0,20.2,64.19999999999999,6.733333333333333,9.171428571428569,-1.0,-1.8369701987210297e-16,-0.9474042892438845,-0.32003923622313857,841.645767323727,0.0318,0.1858,0.5212,1033.88,0.000329,106.512778,10.955556
2022-09-13,Củ Chi,2022,9,13,,,,,,4.172,1.456,3.07995,2.716,2.935791666666667,0.0,0.0,0.0,10.2,2.2,7.800000000000001,10.2,12.399999999999999,54.0,4.133333333333333,7.714285714285714,-1.0,-1.8369701987210297e-16,-0.9527692922168511,-0.30369503751065885,841.645767323727,0.0318,0.1858,0.5212,1033.88,0.000329,106.512778,10.955556
2022-09-14,Củ Chi,2022,9,14,,,,,,3.97,1.486,2.736913043478261,2.484,3.07995,0.0,0.0,0.0,0.0,10.2,2.2,27.8,10.2,26.2,3.4,3.742857142857143,-1.0,-1.8369701987210297e-16,-0.9578523554276669,-0.28726097055059635,841.645767323727,0.0318,0.1858,0.5212,1033.88,0.000329,106.512778,10.955556
2022-09-15,Củ Chi,2022,9,15,,,,,,3.785,1.237,2.7232916666666664,2.548,2.736913043478261,2.4,0.8,5.0,0.0,0.0,10.2,0.2,2.4,28.4,0.7999999999999999,4.057142857142857,-1.0,-1.8369701987210297e-16,-0.9626519747161487,-0.2707418984477642,841.645767323727,0.0318,0.1858,0.5212,1033.88,0.000329,106.512778,10.955556
2022-09-16,Củ Chi,2022,9,16,,,,,,3.656,1.387,2.795333333333333,2.269,2.7232916666666664,0.0,0.0,0.0,2.4,0.0,0.0,5.8,2.4,22.599999999999998,0.7999999999999999,3.228571428571428,-1.0,-1.8369701987210297e-16,-0.9671667297977312,-0.2541427094613622,841.645767323727,0.0318,0.1858,0.5212,1033.88,0.000329,106.512778,10.955556
2022-09-17,Củ Chi,2022,9,17,,,,,,3.549,1.41,2.8156250000000003,2.139,2.795333333333333,0.8,0.2,4.0,0.0,2.4,0.0,7.800000000000001,3.2,15.599999999999998,1.0666666666666667,2.228571428571428,-1.0,-1.8369701987210297e-16,-0.97139528468375,-0.23746831555846842,841.645767323727,0.0318,0.1858,0.5212,1033.88,0.000329,106.512778,10.955556
2022-09-18,Củ Chi,2022,9,18,,,,,,3.539,1.466,2.7972083333333333,2.0730000000000004,2.8156250000000003,6.4,3.0,5.0,0.8,0.0,2.4,2.2,7.200000000000001,19.8,2.4000000000000004,2.8285714285714287,-1.0,-1.8369701987210297e-16,-0.9753363880767837,-0.2207236509605022,841.645767323727,0.0318,0.1858,0.5212,1033.88,0.000329,106.512778,10.955556
2022-09-19,Củ Chi,2022,9,19,,,,,,3.541,1.519,2.7564166666666665,2.022,2.7972083333333333,1.4,1.2,2.0,6.4,0.8,0.0,10.2,8.600000000000001,11.0,2.866666666666667,1.5714285714285714,-1.0,-1.8369701987210297e-16,-0.9789888737409319,-0.20391367068311472,841.645767323727,0.0318,0.1858,0.5212,1033.88,0.000329,106.512778,10.955556
2022-09-20,Củ Chi,2022,9,20,,,,,,3.688,1.485,2.7772916666666667,2.2030000000000003,2.7564166666666665,0.4,0.2,2.0,1.4,6.4,0.8,0.0,8.200000000000001,11.4,2.733333333333334,1.6285714285714286,-1.0,-1.8369701987210297e-16,-0.9823516608469237,-0.18704334906991657,841.645767323727,0.0318,0.1858,0.5212,1033.88,0.000329,106.512778,10.955556
2022-09-21,Củ Chi,2022,9,21,,,,,,3.831,1.659,2.9345,2.172,2.7772916666666667,0.0,0.0,0.0,0.4,1.4,6.4,0.0,1.8000000000000007,11.4,0.6000000000000002,1.6285714285714286,-1.0,-1.8369701987210297e-16,-0.9854237542919524,-0.17011767832049052,841.645767323727,0.0318,0.1858,0.5212,1033.88,0.000329,106.512778,10.955556
2022-09-22,Củ Chi,2022,9,22,,,,,,3.756,1.322,2.799375,2.434,2.9345,1.0,0.4,4.0,0.0,0.4,1.4,2.4,1.4000000000000008,10.0,0.46666666666666695,1.4285714285714286,-1.0,-1.8369701987210297e-16,-0.9882042449941422,-0.15314166701312007,841.645767323727,0.0318,0.1858,0.5212,1033.88,0.000329,106.512778,10.955556
2022-09-23,Củ Chi,2022,9,23,,,,,,3.909,1.314,2.853375,2.595,2.799375,9.4,4.2,12.0,1.0,0.0,0.4,0.0,10.400000000000002,19.4,3.4666666666666672,2.7714285714285714,-1.0,-1.8369701987210297e-16,-0.9906923101615609,-0.13612033862266704,841.645767323727,0.0318,0.1858,0.5212,1033.88,0.000329,106.512778,10.955556
2022-09-24,Củ Chi,2022,9,24,,,,,,4.08,1.255,2.927583333333333,2.825,2.853375,11.4,4.0,9.0,9.4,1.0,0.0,0.8,21.8,30.0,7.266666666666667,4.285714285714286,-1.0,-1.8369701987210297e-16,-0.9928872135356962,-0.11905873003404988,841.645767323727,0.0318,0.1858,0.5212,1033.88,0.000329,106.512778,10.955556
2022-09-25,Củ Chi,2022,9,25,,,,,,4.203,1.218,2.957208333333333,2.9850000000000003,2.927583333333333,31.6,8.4,35.0,11.4,9.4,1.0,6.4,52.400000000000006,55.2,17.46666666666667,7.885714285714286,-1.0,-1.8369701987210297e-16,-0.994788305609327,-0.10196189005174576,841.645767323727,0.0318,0.1858,0.5212,1033.88,0.000329,106.512778,10.955556
2022-09-26,Củ Chi,2022,9,26,,,,,,4.097,1.301,2.9108750000000003,2.7960000000000003,2.957208333333333,20.4,14.0,18.0,31.6,11.4,9.4,1.4,63.400000000000006,74.2,21.133333333333336,10.6,-1.0,-1.8369701987210297e-16,-0.9963950238187231,-0.08483487790576538,841.645767323727,0.0318,0.1858,0.5212,1033.88,0.000329,106.512778,10.955556
