tenTram,lon,lat,dist_to_river_m,tide_inf_sigmoid,tide_inf_exp,pct_impervious,channel_length_m,channel_density_m_m2
An Phú,106.506667,11.111667,585.5852149407023,0.2982,0.31,0.137,1188.99,0.000378
Cát Lái,106.770278,10.770833,1915.13139261586,0.0,0.0217,0.5196,0.0,0.0
Cần Giờ,106.964243,10.409755,247.11570612073,0.9261,0.61,0.3233,3082.92,0.000981
Củ Chi,106.512778,10.955556,841.645767323727,0.0318,0.1858,0.5212,1033.88,0.000329
Hóc Môn,106.598219,10.88819,91.95279306452876,0.9834,0.832,0.7951,2811.38,0.000895
Lê Minh Xuân,106.537222,10.777222,68.5375653377525,0.9868,0.8719,0.1728,6394.72,0.002036
Phạm Văn Cội,106.522222,11.038056,2533.6661024673945,0.0,0.0063,0.0694,0.0,0.0
Thủ Đức,106.755827,10.844789,137.075130675505,0.9741,0.7602,0.7828,4192.9,0.001335
Nhà Bè,106.734722,10.639444,86.69392469996215,0.9842,0.8408,0.4326,3440.02,0.001095
Phú An,106.707778,10.778611,126.37702612520502,0.9767,0.7767,0.5141,2013.65,0.000641
